card_name	count
Soul Taker	155
Fusion Gate	154
Dark World Dealings	154
38033126	153
Judgment of Anubis	151
Inferno Reckless Summon	150
Junk Warrior	149
Blackwing - Gale the Whirlwind	149
Second Coin Toss	149
Howling Insect	149
Secret Barrel	149
Anti-Spell Fragrance	148
Vice Dragon	148
Deck Devastation Virus	148
Don Zaloog	147
Debris Dragon	146
Ninja Grandmaster Sasuke	146
Harpie Queen	145
Justi-Break	145
Elemental HERO Clayman	145
Command Knight	144
Elemental HERO Neos	144
Tuning	144
Armory Arm	144
Red-Eyes Black Dragon	144
Time Wizard	144
Xyz Reborn	144
Abyss Soldier	143
Necro Gardna	143
Legendary Jujitsu Master	143
The A. Forces	142
Chiron the Mage	142
Blackwing Armor Master	141
Old Vindictive Magician	141
Warrior of Atlantis	141
Elemental HERO Avian	140
Hyper Hammerhead	138
Power Bond	138
Elemental HERO Burstinatrix	138
Night Beam	138
Poison of the Old Man	138
Magician's Circle	137
Red-Eyes Darkness Metal Dragon	137
Psychic Commander	137
Interdimensional Matter Transporter	136
Ookazi	136
Guardian Sphinx	136
Tour Guide From the Underworld	136
Return from the Different Dimension	135
Gilasaurus	135
Kunai with Chain	135
Iron Chain Dragon	135
Submarineroid	135
Blast Sphere	134
Gungnir, Dragon of the Ice Barrier	134
Dunames Dark Witch	134
Royal Oppression	133
Dark End Dragon	133
Ceasefire	133
Ancient Gear Golem	133
Ectoplasmer	133
Harpies' Hunting Ground	132
Elemental HERO Neos Alius	132
Mechanicalchaser	132
Lava Golem	132
Cyber Valley	131
Luminous Spark	131
Cardcar D	131
Machina Armored Unit	130
Mezuki	130
R - Righteous Justice	130
Solar Recharge	130
Arcanite Magician	129
Revived King Ha Des	129
Airknight Parshath	129
Gigantes	128
Jurassic World	128
Shadow Spell	128
Thestalos the Firestorm Monarch	128
Spell Absorption	128
Gagaga Magician	127
Good Goblin Housekeeping	127
D.D. Warrior	126
Ally of Justice Decisive Armor	126
Nightmare Penguin	126
Blizzard Dragon	126
Power Tool Dragon	126
Fire Princess	126
Armed Dragon LV3	125
Jirai Gumo	125
The Fabled Cerburrel	125
Blackwing - Blizzard the Far North	125
Gift Card	125
Steamroid	124
Magician's Valkyria	124
Alien Warrior	124
Forced Back	123
White Magician Pikeru	123
Destiny HERO - Defender	123
Royal Magical Library	123
O - Oversoul	123
Black Pendant	123
Zombyra the Dark	123
Proto-Cyber Dragon	123
Skelengel	122
Genex Neutron	122
Injection Fairy Lily	122
Quickdraw Synchron	122
Banisher of the Light	122
Enraged Battle Ox	121
Blackwing - Shura the Blue Flame	121
Swords of Concealing Light	121
Gear Golem the Moving Fortress	121
Mad Dog of Darkness	121
Stray Lambs	120
Miracle Fertilizer	119
Naturia Landoise	119
Genex Controller	119
Fusion Recovery	119
Scrap Archfiend	119
Just Desserts	119
Dark World Lightning	119
Ancient Sacred Wyvern	118
Roll Out!	118
Pinpoint Guard	118
Kagetokage	118
Hecatrice	117
Spear Dragon	117
D.D. Survivor	117
Elemental HERO Absolute Zero	116
Imperial Custom	116
Demise, King of Armageddon	116
Night Assailant	115
D.D.R. - Different Dimension Reincarnation	115
Bad Reaction to Simochi	115
Charcoal Inpachi	115
Baby Dragon	115
X-Head Cannon	115
Mist Valley Falcon	115
Indomitable Fighter Lei Lei	115
Sabersaurus	114
Morphtronic Celfon	114
The Unhappy Maiden	114
Hane-Hane	114
Thunder Dragon	114
Chimeratech Overdragon	114
Mystic Plasma Zone	113
Asura Priest	113
Fire Formation - Tenki	113
Light of Intervention	113
Botanical Lion	112
D.D. Crow	112
Beckoning Light	112
Level Eater	112
Crystal Beast Emerald Tortoise	112
Wind-Up Zenmaines	112
Number 17: Leviathan Dragon	112
Horus the Black Flame Dragon LV6	112
X-Saber Wayne	111
Blackwing Armed Wing	111
Destiny HERO - Malicious	111
Deep Sea Diva	111
Defender, the Magical Knight	111
Blue Medicine	111
Big Shield Gardna	111
Rank-Up-Magic Barian's Force	111
Crystal Beast Sapphire Pegasus	111
Hammer Shot	111
The Transmigration Prophecy	110
Blackwing - Sirocco the Dawn	110
Mystical Elf	110
Needlebug Nest	110
Gogogo Golem	110
Doomkaiser Dragon	110
Majestic Mech - Ohka	110
Naturia Leodrake	109
Sacred Phoenix of Nephthys	109
No Entry!!	109
De-Fusion	109
Reckless Greed	109
Michizure	109
Jain, Lightsworn Paladin	109
Goldd, Wu-Lord of Dark World	109
Geartown	108
Key Mace	108
Embodiment of Apophis	108
Flamvell Magician	108
Final Attack Orders	108
Horus the Black Flame Dragon LV4	108
Dark Strike Fighter	107
Morphtronic Scopen	107
Constellar Ptolemy M7	107
Blowback Dragon	107
Blackwing - Kalut the Moon Shadow	106
Ojama Black	106
Genex Ally Birdman	106
Ancient Rules	106
Final Countdown	106
Hidden Armory	105
Ojama Yellow	105
Destiny Draw	105
Mystik Wok	105
Dark Grepher	105
Winged Kuriboh	105
Safe Zone	105
Molten Destruction	105
Avenging Knight Parshath	104
Dewloren, Tiger King of the Ice Barrier	104
Ojama Green	104
Cyber Jar	104
Crystal Beast Topaz Tiger	104
Sillva, Warlord of Dark World	104
Beast Soul Swap	103
Exploder Dragonwing	103
Copycat	103
Sasuke Samurai #4	103
Harpie Lady 1	103
Lord Poison	102
Armed Dragon LV5	102
Dark Simorgh	102
Elegant Egotist	102
Hand of Nephthys	102
Elemental HERO Wildedge	102
Summoner's Art	102
Number 101: Silent Honor ARK	102
Soul Absorption	102
Granmarg the Rock Monarch	102
Spirit Barrier	101
Mist Body	101
Gyroid	101
Sinister Serpent	101
Zeradias, Herald of Heaven	101
Escape from the Dark Dimension	100
Rising Air Current	100
Rare Metalmorph	100
Fairy Meteor Crush	100
Zaborg the Thunder Monarch	100
Clown Zombie	99
Gagagigo	99
Alien Shocktrooper	99
Ancient Fairy Dragon	99
Ebon Magician Curran	99
Metalmorph	99
King of the Skull Servants	99
Destiny HERO - Diamond Dude	98
Queen's Knight	98
Rivalry of Warlords	98
Elemental HERO Bubbleman	98
Elemental HERO Thunder Giant	98
Stone Statue of the Aztecs	98
Ancient Gear Knight	98
Overload Fusion	98
Necrovalley	98
Ancient City - Rainbow Ruins	98
Crystal Beast Amber Mammoth	98
Morphtronic Radion	97
Fabled Krus	97
Dragon Zombie	97
Elemental HERO Ocean	96
King Dragun	96
Armed Ninja	96
Newdoria	96
Herald of Creation	96
Rain of Mercy	95
Elemental HERO Flame Wingman	95
Witch of the Black Forest	95
Malice Doll of Demise	95
Leviair the Sea Dragon	95
Gachi Gachi Gantetsu	95
Toon Goblin Attack Force	95
Odd-Eyes Pendulum Dragon	95
Queen of Thorns	94
Wall of Thorns	94
Mystic Box	94
Reload	94
Recurring Nightmare	94
Iron Call	94
Reasoning	94
Crystal Beast Amethyst Cat	94
Swarm of Locusts	94
Volcanic Shell	93
Forest	93
King Tiger Wanghu	93
Iron Blacksmith Kotetsu	93
Crystal Beast Ruby Carbuncle	93
Bountiful Artemis	92
Magical Stone Excavation	92
Ancient Gear Soldier	92
Gagaga Cowboy	92
Dragon's Rage	92
Soul Charge	92
Silent Swordsman LV5	92
Gigaplant	91
The Light - Hex-Sealed Fusion	91
Super-Nimble Mega Hamster	91
Morphtronic Boomboxen	91
Soul of Purity and Light	91
Queen's Double	91
Petit Dragon	91
Cannon Soldier	91
The Earth - Hex-Sealed Fusion	91
Ground Collapse	91
Green Baboon, Defender of the Forest	90
Gren Maju Da Eiza	90
Destiny HERO - Fear Monger	90
Alligator's Sword	90
Fabled Ragin	90
Swarm of Scarabs	90
Brron, Mad King of Dark World	90
Hinotama	89
Preparation of Rites	89
Ojama King	89
Destiny HERO - Plasma	89
Herald of Orange Light	89
Elemental HERO Shining Flare Wingman	89
Tribute to the Doomed	89
Photon Thrasher	89
Begone, Knave!	89
The Dark Door	89
Fossil Dig	88
Horn of the Phantom Beast	88
Black Whirlwind	88
Hysteric Party	88
Super Vehicroid Jumbo Drill	88
Divine Sword - Phoenix Blade	88
Morphtronic Boarden	88
Red-Eyes Wyvern	88
Magical Exemplar	88
Graceful Revival	88
Castel, the Skyblaster Musketeer	88
Evil HERO Dark Gaia	88
Lumina, Lightsworn Summoner	88
Wulf, Lightsworn Beast	88
Double Coston	88
Hunter Owl	88
Mist Archfiend	87
Dragunity Darkspear	87
DNA Surgery	87
Card Trader	87
Ancient Gear Gadjiltron Dragon	87
Uria, Lord of Searing Flames	87
Dancing Fairy	87
Hero Signal	87
Fabled Raven	87
Twin-Headed Behemoth	87
Blackwing - Silverwind the Ascendant	86
Birdface	86
Spell Power Grasp	86
Gravekeeper's Guard	86
The Dark Creator	86
Ehren, Lightsworn Monk	86
Ultimate Tyranno	86
Dekoichi the Battlechanted Locomotive	86
Light and Darkness Dragon	85
Jerry Beans Man	85
Warrior Lady of the Wasteland	85
Hiro's Shadow Scout	85
Monster Gate	85
Phantom Skyblaster	85
Darklord Marie	85
Unshaven Angler	85
Destroyersaurus	84
Autonomous Action Unit	84
Spiritual Fire Art - Kurenai	84
Divine Dragon Ragnarok	84
Right Leg of the Forbidden One	84
Left Leg of the Forbidden One	84
Right Arm of the Forbidden One	84
Left Arm of the Forbidden One	84
Black Luster Soldier - Envoy of the Beginning	84
Flamvell Guard	84
Fabled Valkyrus	84
Judgment Dragon	84
X-Saber Pashuul	84
Axe Dragonute	83
Dark Scorpion - Meanae the Thorn	83
Neo-Spacian Air Hummingbird	83
Magical Citadel of Endymion	83
Dark Paladin	83
Toon Gemini Elf	83
Charge of the Light Brigade	83
Surface	83
Assault Mode Activate	83
Beiige, Vanguard of Dark World	83
The Fabled Ganashia	83
Silent Swordsman LV3	83
Darklord Nurse Reficule	83
Phoenix Wing Wind Blast	82
Black Stego	82
Infernity Beetle	82
Gravekeeper's Servant	82
Mushroom Man	82
Destiny Board	82
Crystal Beacon	82
Crystal Blessing	82
Doom Dozer	82
Soul-Absorbing Bone Tower	82
Insect Knight	81
Elemental HERO Gaia	81
Damage Condenser	81
Bark of Dark Ruler	81
Swallow's Nest	81
The White Stone of Legend	81
Mystical Shine Ball	81
Fabled Grimro	81
Mataza the Zapper	81
Dimension Fusion	81
Big Evolution Pill	80
Athena	80
Amazoness Swords Woman	80
Falling Down	80
Fossil Dyna Pachycephalo	80
Tornado Wall	80
D.D. Scout Plane	80
Reese the Ice Mistress	80
Dark Armed Dragon	79
King's Knight	79
Dark Calling	79
Tempest Magician	79
Des Lacooda	79
Tytannial, Princess of Camellias	78
Machina Gearframe	78
Elemental HERO The Shining	78
Tuningware	78
Cyber-Stein	78
Gearfried the Iron Knight	78
Pandemonium	78
Harvest Angel of Wisdom	78
Machina Fortress	77
Jinzo #7	77
Stumbling	77
Y-Dragon Head	77
Z-Metal Tank	77
Kinka-byo	77
Soul Release	77
Fabled Kushano	77
Kaiser Sea Horse	77
Gladiator Beast Gyzarus	77
Kelbek	77
Harpie Lady Sisters	76
Infernity Archfiend	76
Double Tool C&D	76
Crusader of Endymion	76
Exodia the Forbidden One	76
Maha Vailo	76
Cyber Blader	76
Renge, Gatekeeper of Dark World	76
Black Horn of Heaven	76
Naturia Cherries	76
Gagaga Girl	76
Hunter Dragon	76
Silent Magician LV4	76
Enchanted Javelin	76
Black Salvo	75
Prideful Roar	75
Morphtronic Accelerator	75
Ally of Justice Cyclone Creator	75
Enchanting Fitting Room	75
Spiritual Water Art - Aoi	75
The Six Samurai - Zanji	75
The Agent of Creation - Venus	75
Princess of Tsurugi	74
Dark Valkyria	74
Starlight Road	74
Numinous Healer	74
Crane Crane	74
Hieratic Sun Dragon Overlord of Heliopolis	74
XX-Saber Gottoms	74
Archfiend Zombie-Skull	74
Gem-Knight Fusion	74
Ryu Kokki	74
Dark Magician of Chaos	74
Medusa Worm	74
Axe Raider	73
Raging Flame Sprite	73
Destiny HERO - Dogma	73
Celtic Guardian	73
Oracle of the Sun	73
Rock Bombardment	73
Rekindling	73
Grandmaster of the Six Samurai	73
Nobleman of Extermination	73
Horus the Black Flame Dragon LV8	73
Master of Oz	73
Fortune Lady Light	72
Truckroid	72
Unstable Evolution	72
Reptilianne Gardna	72
Arcana Knight Joker	72
Dian Keto the Cure Master	72
Moray of Greed	72
Gottoms' Emergency Call	72
Mirage Dragon	72
Rare Value	72
End of the World	72
Gatling Dragon	72
Steam Gyroid	71
Archlord Kristya	71
Shield Wing	71
Tin Goldfish	71
Chaos-End Master	71
Timegazer Magician	71
Assault Beast	71
Garoth, Lightsworn Warrior	71
Fabled Leviathan	71
Gladiator Beast Heraklinos	71
Sasuke Samurai	71
Cyberdark Dragon	71
Obnoxious Celtic Guard	70
Cestus of Dagla	70
Ameba	70
Chain Material	70
Goblin's Secret Remedy	70
Light End Dragon	70
Dark Elf	70
Ancient Jar	70
Swift Scarecrow	70
Umi	70
Ancient Gear Beast	70
Mecha Phantom Beast Dracossack	70
Sonic Duck	70
Fish Depth Charge	70
Dark Ruler Ha Des	70
Attack and Receive	70
Supervise	69
Blackwing - Vayu the Emblem of Honor	69
Volcanic Scattershot	69
Mokey Mokey	69
Key Mouse	69
Super Polymerization	69
Shadow Specter	69
Elemental HERO Bladedge	69
Speed Warrior	69
Red Medicine	69
Toon World	69
Blackland Fire Dragon	69
Maestroke the Symphony Djinn	69
Gear Gigant X	69
Insect Imitation	69
Tanngrisnir of the Nordic Beasts	69
Mirror Wall	69
Stargazer Magician	69
Metamorphosis	69
Gleipnir, the Fetters of Fenrir	69
Alien Grey	69
Rocket Warrior	68
Sea Dragon Lord Gishilnodon	68
Peten the Dark Clown	68
Sea Koala	68
Infernity Necromancer	68
Kuribon	68
Destiny HERO - Dasher	68
Cup of Ace	68
De-Spell	68
Nitro Warrior	68
Battle Warrior	68
Panther Warrior	68
Spear Cretin	68
Gil Garth	68
Lavalval Chain	68
Gogogo Giant	68
Machine Assembly Line	68
Naturia Cliff	68
Oyster Meister	68
Great Maju Garzett	68
Psychokinesis	68
Call of the Mummy	68
Trap Jammer	68
Dragunity Phalanx	68
Granadora	68
Book of Eclipse	67
Battle Ox	67
The Fabled Unicore	67
Fortune Lady Dark	67
Archfiend Marmot of Nefariousness	67
Ojamagic	67
Morphtronic Remoten	67
Human-Wave Tactics	67
La Jinn the Mystical Genie of the Lamp	67
Catapult Turtle	67
The Bistro Butcher	67
Beta The Magnet Warrior	67
Restructer Revolution	67
Ancient Gear Castle	67
Lady Ninja Yae	67
Roulette Barrel	67
Koa'ki Meiru Guardian	67
Cyber Phoenix	67
Terrorking Archfiend	67
Jurrac Velo	66
Cost Down	66
The Fabled Catsith	66
Future Visions	66
Aqua Spirit	66
Pinch Hopper	66
Etoile Cyber	66
